;M?tpunkt;Starttid;Sluttid;Order;Ordernummer;Artikelnamn;Artikelnummer;Artikeltyp;Producerad m?ngd;Kasserad m?ngd;Godk?nd m?ngd;Omarbetad m?ngd;Varaktighet;Varaktighet in hours;Schemalagd tid;Schemalagd tid in hours;Drifttid;Drifttid in hours;St?lltid;St?lltid in hours;Total stopptid;Total stopptid in hours;Antal stopp;Medelcykeltid;Medelcykeltid in hours;Medelcykeltid inkl. stopptid;Medelcykeltid inkl. stopptid in hours;TAK;Tillg?nglighet;Anl?ggningsutbyte;Kvalitetsutbyte;Tillg?nglighetsf?rlust;Tempof?rlust;Kvalitetsf?rlust;Maxproduktion;M?lproduktion;Medelproduktion per timme;Medelproduktion per minut;Cluster labels
23;08 - Pope Reel;29.4.2017 10:21;29.4.2017 10:38;L3044;L3044;Svetsmuff 50 DV Svart 1055719;206Q423;;28;0;28;0;00:16:20.7000000;0,27;00:16:20.7000000;0,27;00:00:00;0;00:16:20.7000000;0,27;00:16:20.7000000;0,27;1;00:00:00;0;00:00:35;0,01;0;0;100;100;100;0;0;76,4;76,4;0;0;1
24;08 - Pope Reel;29.4.2017 10:42;29.4.2017 10:52;L3044;L3044;Svetsmuff 50 DV Svart 1055719;206Q423;;0;0;0;0;00:09:31.2000000;0,16;00:09:31.2000000;0,16;00:00:00;0;00:09:31.2000000;0,16;00:09:31.2000000;0,16;1;00:00:00;0;00:00:00;0;0;0;100;100;100;0;0;44,5;44,5;0;0;1
25;08 - Pope Reel;29.4.2017 12:27;29.4.2017 12:49;L3044;L3044;Svetsmuff 50 DV Svart 1055719;206Q423;;0;0;0;0;00:22:21.6000000;0,37;00:22:21.6000000;0,37;00:00:00;0;00:22:21.6000000;0,37;00:22:21.6000000;0,37;2;00:00:00;0;00:00:00;0;0;0;100;100;100;0;0;104,5;104,5;0;0;1
26;08 - Pope Reel;29.4.2017 15:07;29.4.2017 15:26;L3044;L3044;Svetsmuff 50 DV Svart 1055719;206Q423;;0;0;0;0;00:18:49.6000000;0,31;00:18:49.6000000;0,31;00:00:00;0;00:18:49.6000000;0,31;00:18:49.6000000;0,31;1;00:00:00;0;00:00:00;0;0;0;100;100;100;0;0;88;88;0;0;1
27;09 - Jumbo Back Stand;28.4.2017 14:13;28.4.2017 14:29;L3059;L3059;Ljudplugg Kort 31675319 svart;212T003;;0;0;0;0;00:16:24.2000000;0,27;00:16:24.2000000;0,27;00:00:00;0;00:16:24.2000000;0,27;00:16:24.2000000;0,27;1;00:00:00;0;00:00:00;0;0;0;100;100;100;0;0;53,2;53,2;0;0;1
28;09 - Jumbo Back Stand;28.4.2017 14:52;28.4.2017 15:48;L3059;L3059;Ljudplugg Kort 31675319 svart;212T003;;20;0;20;0;00:56:13.5000000;0,94;00:56:13.5000000;0,94;00:00:00;0;00:56:13.5000000;0,94;00:56:13.5000000;0,94;1;00:00:00;0;00:02:48.7000000;0,05;0;0;100;100;100;0;0;182,4;182,4;0;0;1
29;07 - After-Dryer;28.4.2017 14:53;28.4.2017 15:12;L3089;L3089;B?rhandtag svart 150-17-2;248U001;;160;0;160;0;00:19:01.6000000;0,32;00:19:01.6000000;0,32;00:01:44.5000000;0,03;00:09:08.7000000;0,15;00:17:17.2000000;0,29;2;00:00:00.7000000;0;00:00:07.1000000;0;9,2;9,2;100;100;90,8;0;0;496,4;496,4;5513,5;91,9;1
30;07 - After-Dryer;28.4.2017 15:12;28.4.2017 18:46;L3089;L3089;B?rhandtag svart 150-17-2;248U001;;1230;1230;0;0;03:34:19.4000000;3,57;03:34:19.4000000;3,57;01:11:44;1,2;01:05:27.7000000;1,09;02:22:35.4000000;2,38;57;00:00:03.5000000;0;00:00:10.5000000;0;0;33,5;52,6;0;31,1;22,2;46,7;5591,1;5591,1;1028,8;17,1;1
31;07 - After-Dryer;29.4.2017 07:09;04.5.2017 16:17;L3089;L3089;B?rhandtag svart 150-17-2;248U001;;50350;2250;48100;0;5.09:08:15.9000000;129,14;2.11:23:07.6000000;59,39;1.07:16:26.8000000;31,27;00:04:31.9000000;0,08;1.04:06:40.7000000;28,11;113;00:00:02.2000000;0;00:00:04.2000000;0;72,2;75,6;100;95,5;23,5;0;4,3;50079,9;50079,9;1610;26,8;2
32;09 - Jumbo Back Stand;28.4.2017 15:49;30.4.2017 07:48;L3093;L3093;Ljudplugg Kort 31675319 svart;212T003;;7576;5;7571;0;1.15:58:55.9000000;39,98;1.09:58:20.1000000;33,97;1.09:07:03.2000000;33,12;00:11:48.8000000;0,2;00:51:16.9000000;0,85;8;00:00:15.7000000;0;00:00:16.1000000;0;91,6;97,5;94;99,9;2,5;5,8;0,1;6610,8;6610,8;228,8;3,8;1
